Judgements,Area.of.Law
LNIND_1951_CAL_113,Company Law
LNIND_1988_CAL_141,Criminal Laws
LNIND_1988_CAL_115,Banking And Finance
LNIND_1976_CAL_302,Income Tax
LNIND_1957_CAL_205,Civil Procedure
LNIND_1954_CAL_118,Property Laws
LNIND_1976_CAL_198,Civil Procedure
LNIND_1952_CAL_53,Criminal Procedure
LNIND_1953_CAL_74,Limitation
LNIND_1980_CAL_81,Tenancy Laws
LNIND_1976_CAL_81,Civil Procedure
LNIND_1953_CAL_62,Partnership And Joint Ventures
LNIND_1955_CAL_134,Tenancy Laws
LNIND_1952_CAL_148,Succession Laws
LNIND_1952_CAL_166,Service Law
LNIND_1988_CAL_246,Income Tax
LNIND_1957_CAL_57,Transport Law
LNIND_1956_CAL_46,Criminal Laws
LNIND_1988_CAL_49,Excise
LNIND_1979_CAL_184,Income Tax
LNIND_1988_CAL_150,Civil Laws
LNIND_1980_CAL_5,Income Tax
LNIND_1980_CAL_308,Succession Laws
LNIND_1988_CAL_249,Criminal Procedure
LNIND_1980_CAL_134,Civil Procedure
LNIND_1976_CAL_55,Income Tax
LNIND_1979_CAL_159,Civil Procedure
LNIND_1953_CAL_8,Property Laws
LNIND_1957_CAL_3,Criminal Procedure
LNIND_1951_CAL_168,Banking And Finance
LNIND_1952_CAL_26,Criminal Laws
LNIND_1980_CAL_271,Local Government
LNIND_1951_CAL_181,Tenancy Laws
LNIND_1957_CAL_4,Legal Profession
LNIND_1956_CAL_54,Local Government
LNIND_1952_CAL_25,Education
LNIND_1980_CAL_26,Tenancy Laws
LNIND_1953_CAL_36,Succession Laws
LNIND_1980_CAL_4,Criminal Procedure
LNIND_1956_CAL_49,Customs
LNIND_1957_CAL_59,Criminal Procedure
LNIND_1951_CAL_76,Property Laws
LNIND_1980_CAL_205,Tenancy Laws
LNIND_1953_CAL_91,Civil Procedure
LNIND_1957_CAL_60,Company Law
LNIND_1993_DEL_190,Tenancy Laws
LNIND_1976_CAL_212,Criminal Procedure
LNIND_1953_CAL_139,Evidence
LNIND_1976_CAL_228,Excise
LNIND_1976_CAL_217,Succession Laws
LNIND_1988_CAL_222,Income Tax
LNIND_1953_CAL_126,Tenancy Laws
LNIND_1988_CAL_95,Sales Tax And Vat
LNIND_1951_CAL_25,Banking And Finance
LNIND_1980_CAL_244,Income Tax
LNIND_1980_CAL_16,Civil Procedure
LNIND_1976_CAL_27,Transport Law
LNIND_1976_CAL_143,Administrative Law
LNIND_1980_CAL_84,Income Tax
LNIND_1980_CAL_307,Civil Procedure
LNIND_1951_CAL_144,Criminal Procedure
LNIND_1976_CAL_14,Administrative Law
LNIND_1988_CAL_224,Income Tax
LNIND_1951_CAL_7,Criminal Procedure
LNIND_1980_CAL_9,Civil Procedure
LNIND_1952_CAL_135,Succession Laws
LNIND_1993_DEL_124,Civil Procedure
LNIND_1953_CAL_114,Local Government
LNIND_1976_CAL_87,Succession Laws
LNIND_1980_CAL_69,Criminal Procedure
LNIND_1953_CAL_140,Service Law
LNIND_1952_CAL_113,Civil Procedure
LNIND_1980_CAL_120,Limitation
LNIND_1976_CAL_219,Civil Procedure
LNIND_1988_CAL_140,Local Government
LNIND_1988_CAL_40,Employment And Labour Law
LNIND_1951_CAL_43,Limitation
LNIND_1988_CAL_160,Civil Procedure
LNIND_1953_CAL_179,Property Laws
LNIND_1988_CAL_231,Civil Procedure
LNIND_1955_CAL_1,Criminal Procedure
LNIND_1954_CAL_106,Service Law
LNIND_1957_CAL_106,Company Law
LNIND_1957_CAL_152,Natural Resources And Energy
LNIND_1954_CAL_53,Tenancy Laws
LNIND_1955_CAL_31,Excise
LNIND_1951_CAL_99,Tenancy Laws
LNIND_1976_CAL_48,Property Laws
LNIND_1976_CAL_263,Criminal Procedure
LNIND_1952_CAL_112,Tenancy Laws
LNIND_1980_CAL_310,Civil Procedure
LNIND_1988_CAL_134,Tenancy Laws
LNIND_1988_CAL_47,Civil Procedure
LNIND_1988_CAL_51,Criminal Procedure
LNIND_1954_CAL_137,Local Government
LNIND_1953_CAL_77,Civil Laws
LNIND_1993_DEL_127,Tenancy Laws
LNIND_1988_CAL_172,Criminal Laws
LNIND_1951_CAL_63,Tenancy Laws
LNIND_1993_DEL_182,Civil Procedure
LNIND_1993_DEL_130,Education
LNIND_1988_CAL_177,Civil Procedure
LNIND_1980_CAL_304,Income Tax
LNIND_1976_CAL_85,Tenancy Laws
LNIND_1951_CAL_234,Criminal Procedure
LNIND_1980_CAL_261,Income Tax
LNIND_1979_CAL_128,Tenancy Laws
LNIND_1957_CAL_141,Company Law
LNIND_1954_CAL_82,Criminal Procedure
LNIND_1952_CAL_15,Civil Procedure
LNIND_1954_CAL_44,Tenancy Laws
LNIND_1951_CAL_185,Company Law
LNIND_1953_CAL_14,Alternative Dispute Resolution
LNIND_1988_CAL_89,Tenancy Laws
LNIND_1993_DEL_121,Evidence
LNIND_1953_CAL_57,Civil Procedure
LNIND_1980_CAL_137,Civil Procedure
LNIND_1988_CAL_30,Tenancy Laws
LNIND_1953_CAL_129,Service Law
LNIND_1957_CAL_155,Income Tax
LNIND_1951_CAL_66,Civil Procedure
LNIND_1980_CAL_328,Civil Procedure
LNIND_1951_CAL_8,Sales Tax And Vat
LNIND_1993_DEL_106,Criminal Laws
LNIND_1951_CAL_26,Civil Procedure
LNIND_1954_CAL_5,Criminal Procedure
LNIND_1980_CAL_181,Civil Procedure
LNIND_1976_CAL_264,Motor Vehicles
LNIND_1954_CAL_18,Civil Procedure
LNIND_1980_CAL_122,Income Tax
LNIND_1988_CAL_129,Family Law
LNIND_1993_DEL_150,Local Government
LNIND_1979_CAL_212,Local Government
LNIND_1954_CAL_116,Property Laws
LNIND_1976_CAL_83,Tenancy Laws
LNIND_1976_CAL_130,Constitution
LNIND_1951_CAL_24,Tenancy Laws
LNIND_1951_CAL_50,Tenancy Laws
LNIND_1976_CAL_98,Motor Vehicles
LNIND_1980_CAL_325,Service Law
LNIND_1952_CAL_36,Property Laws
LNIND_1953_CAL_201,Limitation
LNIND_1976_CAL_91,Tenancy Laws
LNIND_1951_CAL_250,Education
LNIND_1957_CAL_105,Transport Law
LNIND_1951_CAL_47,Customs
LNIND_1976_CAL_215,Succession Laws
LNIND_1988_CAL_104,Contract
LNIND_1955_CAL_185,Income Tax
LNIND_1976_CAL_64,Service Law
LNIND_1993_DEL_156,Criminal Laws
LNIND_1956_CAL_85,Alternative Dispute Resolution
LNIND_1980_CAL_334,Income Tax
LNIND_1988_CAL_175,Sales Tax And Vat
LNIND_1953_CAL_5,Criminal Procedure
LNIND_1988_CAL_164,Family Law
LNIND_1980_CAL_153,Income Tax
LNIND_1954_CAL_181,Civil Procedure
LNIND_1980_CAL_215,Income Tax
LNIND_1988_CAL_109,Service Law
LNIND_1976_CAL_236,Transport Law
LNIND_1953_CAL_163,Tenancy Laws
LNIND_1988_CAL_101,Service Law
LNIND_1953_CAL_161,Tenancy Laws
LNIND_1952_CAL_12,Civil Procedure
LNIND_1993_DEL_168,Local Government
LNIND_1993_DEL_148,Civil Procedure
LNIND_1976_CAL_125,Sales Tax And Vat
LNIND_1988_CAL_123,Property Laws
LNIND_1988_CAL_17,Customs
LNIND_1980_CAL_38,Income Tax
LNIND_1980_CAL_40,Civil Procedure
LNIND_1951_CAL_53,Civil Procedure
LNIND_1957_CAL_180,Sales Tax And Vat
LNIND_1957_CAL_94,Tenancy Laws
LNIND_1980_CAL_262,Income Tax
LNIND_1952_CAL_126,Evidence
LNIND_1980_CAL_265,Civil Procedure
LNIND_1988_CAL_244,Service Law
LNIND_1954_CAL_89,Civil Procedure
LNIND_1953_CAL_147,Constitution
LNIND_1993_DEL_108,Criminal Laws
LNIND_1980_CAL_289,Income Tax
LNIND_1980_CAL_66,Tenancy Laws
LNIND_1988_CAL_53,Tenancy Laws
LNIND_1951_CAL_239,Criminal Procedure
LNIND_1951_CAL_223,Civil Procedure
LNIND_1951_CAL_245,Income Tax
LNIND_1957_CAL_71,Property Laws
LNIND_1988_CAL_70,Sales Tax And Vat
LNIND_1980_CAL_212,Service Law
LNIND_1988_CAL_64,Constitution
LNIND_1957_CAL_156,Employment And Labour Law
LNIND_1956_CAL_130,Banking And Finance
LNIND_1957_CAL_29,Civil Procedure
LNIND_1953_CAL_197,Company Law
LNIND_1976_CAL_135,Income Tax
LNIND_1954_CAL_153,Civil Procedure
LNIND_1953_CAL_58,Civil Procedure
LNIND_1951_CAL_220,Limitation
LNIND_1957_CAL_15,Tenancy Laws
LNIND_1954_CAL_22,Tenancy Laws
LNIND_1956_CAL_44,Criminal Laws
LNIND_1988_CAL_235,Family Law
LNIND_1957_CAL_178,Service Law
LNIND_1988_CAL_170,Family Law
LNIND_1976_CAL_239,Tenancy Laws
LNIND_1980_CAL_185,Succession Laws
LNIND_1953_CAL_45,Local Government
LNIND_1980_CAL_63,Company Law
LNIND_1953_CAL_162,Limitation
LNIND_1953_CAL_96,Property Laws
LNIND_1952_CAL_115,Registration
LNIND_1951_CAL_83,Constitution
LNIND_1980_CAL_188,Income Tax
LNIND_1957_CAL_43,Civil Procedure
LNIND_1956_CAL_181,Constitution
LNIND_1953_CAL_146,Education
LNIND_1956_CAL_5,Income Tax
LNIND_1976_CAL_54,Evidence
LNIND_1980_CAL_222,Income Tax
LNIND_1988_CAL_234,Customs
LNIND_1955_CAL_132,Criminal Procedure
LNIND_1976_CAL_268,Income Tax
LNIND_1954_CAL_47,Succession Laws
LNIND_1952_CAL_21,Property Laws
LNIND_1951_CAL_74,Local Government
LNIND_1993_DEL_137,Service Law
LNIND_1951_CAL_45,Tenancy Laws
LNIND_1951_CAL_256,Election Laws
LNIND_1980_CAL_78,Criminal Procedure
LNIND_1956_CAL_26,Constitution
LNIND_1988_CAL_261,Constitution
LNIND_1980_CAL_111,Property Laws
LNIND_1993_DEL_122,Criminal Procedure
LNIND_1993_DEL_126,Contract
LNIND_1952_CAL_44,Criminal Laws
LNIND_1952_CAL_69,Local Government
LNIND_1980_CAL_290,Income Tax
LNIND_1980_CAL_114,Income Tax
LNIND_1951_CAL_176,Civil Laws
LNIND_1957_CAL_75,Sales Tax And Vat
LNIND_1988_CAL_228,Income Tax
LNIND_1993_DEL_17,Criminal Laws
LNIND_1993_DEL_202,Transport Law
LNIND_1980_CAL_199,Income Tax
LNIND_1951_CAL_243,Property Laws
LNIND_1980_CAL_333,Income Tax
LNIND_1956_CAL_109,Alternative Dispute Resolution
LNIND_1976_CAL_40,Property Laws
LNIND_1988_CAL_48,Local Government
LNIND_1988_CAL_33,Customs
LNIND_1953_CAL_199,Tenancy Laws
LNIND_1988_CAL_35,Criminal Laws
LNIND_1951_CAL_175,Criminal Laws
LNIND_1976_CAL_209,Income Tax
LNIND_1956_CAL_127,Contract
LNIND_1976_CAL_287,Income Tax
LNIND_1951_CAL_215,Civil Procedure
LNIND_1988_CAL_113,Family Law
LNIND_1952_CAL_83,Constitution
LNIND_1956_CAL_87,Succession Laws
LNIND_1954_CAL_155,Alternative Dispute Resolution
LNIND_1956_CAL_126,Property Laws
LNIND_1951_CAL_226,Civil Procedure
LNIND_1953_CAL_132,Income Tax
LNIND_1976_CAL_43,Constitution
LNIND_1952_CAL_164,Alternative Dispute Resolution
LNIND_1980_CAL_186,Family Law
LNIND_1955_CAL_75,Criminal Procedure
LNIND_1988_CAL_167,Tenancy Laws
LNIND_1951_CAL_152,Criminal Laws
LNIND_1953_CAL_152,Service Law
LNIND_1954_CAL_69,Company Law
LNIND_1980_CAL_42,Company Law
LNIND_1976_CAL_272,Tenancy Laws
LNIND_1954_CAL_180,Civil Procedure
LNIND_1955_CAL_49,Limitation
LNIND_1988_CAL_61,Criminal Laws
LNIND_1988_CAL_243,Property Laws
LNIND_1956_CAL_88,Succession Laws
LNIND_1956_CAL_123,Company Law
LNIND_1993_DEL_135,Criminal Laws
LNIND_1952_CAL_181,Natural Resources And Energy
LNIND_1953_CAL_153,Service Law
LNIND_1979_CAL_9,Civil Procedure
LNIND_1956_CAL_73,Company Law
LNIND_1993_DEL_162,Contract
LNIND_1957_CAL_187,Property Laws
LNIND_1954_CAL_143,Contract
LNIND_1980_CAL_91,Criminal Procedure
LNIND_1951_CAL_86,Tenancy Laws
LNIND_1951_CAL_134,Excise
LNIND_1993_DEL_197,Criminal Laws
LNIND_1976_CAL_44,Constitution
LNIND_1951_CAL_227,Criminal Procedure
LNIND_1956_CAL_128,Administrative Law
LNIND_1952_CAL_27,Criminal Procedure
LNIND_1951_CAL_48,Employment And Labour Law
LNIND_1988_CAL_5,Civil Procedure
LNIND_1953_CAL_180,Contract
LNIND_1954_CAL_61,Succession Laws
LNIND_1957_CAL_53,Criminal Laws
LNIND_1956_CAL_95,Civil Procedure
LNIND_1954_CAL_1,Tenancy Laws
LNIND_1988_CAL_146,Criminal Procedure
LNIND_1993_DEL_200,Constitution
LNIND_1976_CAL_224,Property Laws
LNIND_1988_CAL_11,Property Laws
LNIND_1980_CAL_211,Income Tax
LNIND_1980_CAL_224,Income Tax
LNIND_1988_CAL_251,Criminal Procedure
LNIND_1952_CAL_142,Tenancy Laws
LNIND_1980_CAL_34,Excise
LNIND_1976_CAL_82,Criminal Procedure
LNIND_1976_CAL_30,Education
LNIND_1976_CAL_214,Criminal Laws
LNIND_1957_CAL_65,Income Tax
LNIND_1979_CAL_58,Customs
LNIND_1952_CAL_34,Civil Procedure
LNIND_1980_CAL_123,Service Law
LNIND_1993_DEL_131,Service Law
LNIND_1976_CAL_255,Civil Laws
LNIND_1954_CAL_122,Alternative Dispute Resolution
LNIND_1957_CAL_9,Constitution
LNIND_1957_CAL_33,Criminal Procedure
LNIND_1988_CAL_157,Criminal Procedure
LNIND_1954_CAL_176,Criminal Laws
LNIND_1954_CAL_92,Contract
LNIND_1956_CAL_67,Civil Procedure
LNIND_1979_CAL_224,Civil Procedure
LNIND_1952_CAL_81,Tenancy Laws
LNIND_1952_CAL_119,Criminal Procedure
LNIND_1954_CAL_129,Motor Vehicles
LNIND_1955_CAL_68,Property Laws
LNIND_1952_CAL_122,Election Laws
LNIND_1957_CAL_113,Tenancy Laws
LNIND_1951_CAL_19,Income Tax
LNIND_1980_CAL_274,Tenancy Laws
LNIND_1952_CAL_85,Tenancy Laws
LNIND_1957_CAL_139,Civil Procedure
LNIND_1988_CAL_132,Company Law
LNIND_1988_CAL_29,Service Law
LNIND_1957_CAL_177,Criminal Procedure
LNIND_1993_DEL_13,Family Law
LNIND_1952_CAL_60,Contempt Of Court
LNIND_1980_CAL_60,Evidence
LNIND_1980_CAL_170,Income Tax
LNIND_1955_CAL_196,Tenancy Laws
LNIND_1988_CAL_165,Income Tax
LNIND_1953_CAL_177,Criminal Procedure
LNIND_1952_CAL_174,Tenancy Laws
LNIND_1954_CAL_157,Banking And Finance
LNIND_1955_CAL_105,Tenancy Laws
LNIND_1953_CAL_46,Criminal Procedure
LNIND_1957_CAL_186,Local Government
LNIND_1979_CAL_86,Service Law
LNIND_1953_CAL_47,Alternative Dispute Resolution
LNIND_1957_CAL_24,Civil Procedure
LNIND_1993_DEL_170,Tenancy Laws
LNIND_1951_CAL_22,Civil Procedure
LNIND_1980_CAL_223,Sales Tax And Vat
LNIND_1976_CAL_230,Constitution
LNIND_1988_CAL_15,Income Tax
LNIND_1993_DEL_161,Criminal Laws
LNIND_1951_CAL_72,Civil Procedure
LNIND_1988_CAL_255,Income Tax
LNIND_1976_CAL_32,Service Law
LNIND_1951_CAL_127,Civil Procedure
LNIND_1979_CAL_170,Customs
LNIND_1988_CAL_56,Tenancy Laws
LNIND_1957_CAL_55,Sales Tax And Vat
LNIND_1952_CAL_188,Criminal Procedure
LNIND_1976_CAL_183,Excise
LNIND_1988_CAL_103,Cooperative Societies
LNIND_1976_CAL_13,Sales Tax And Vat
LNIND_1957_CAL_14,Employment And Labour Law
LNIND_1980_CAL_267,Civil Procedure
LNIND_1954_CAL_100,Civil Procedure
LNIND_1976_CAL_246,Criminal Procedure
LNIND_1980_CAL_72,Income Tax
LNIND_1988_CAL_117,Customs
LNIND_1955_CAL_102,Property Laws
LNIND_1980_CAL_41,Limitation
LNIND_1951_CAL_183,Property Laws
LNIND_1988_CAL_245,Criminal Procedure
LNIND_1956_CAL_149,Local Government
LNIND_1988_CAL_97,Service Law
LNIND_1957_CAL_149,Property Laws
LNIND_1988_CAL_269,Limitation
LNIND_1956_CAL_37,Property Laws
LNIND_1957_CAL_196,Criminal Procedure
LNIND_1976_CAL_243,Family Law
LNIND_1980_CAL_117,Income Tax
LNIND_1980_CAL_142,Criminal Laws
LNIND_1993_DEL_116,Civil Procedure
LNIND_1951_CAL_93,Civil Procedure
LNIND_1957_CAL_119,Tenancy Laws
LNIND_1988_CAL_258,Sales Tax And Vat
LNIND_1976_CAL_298,Civil Laws
LNIND_1988_CAL_226,Income Tax
LNIND_1954_CAL_168,Limitation
LNIND_1988_CAL_267,Civil Procedure
LNIND_1993_DEL_129,Education
LNIND_1957_CAL_23,Tenancy Laws
LNIND_1980_CAL_80,Income Tax
LNIND_1951_CAL_165,Civil Procedure
LNIND_1957_CAL_54,Administrative Law
LNIND_1951_CAL_6,Motor Vehicles
LNIND_1953_CAL_84,Property Laws
LNIND_1957_CAL_61,Civil Procedure
LNIND_1980_CAL_295,Civil Procedure
LNIND_1993_DEL_123,Family Law
LNIND_1980_CAL_326,Civil Procedure
LNIND_1954_CAL_101,Contract
LNIND_1955_CAL_108,Property Laws
LNIND_1993_DEL_175,Criminal Laws
LNIND_1953_CAL_196,Local Government
LNIND_1980_CAL_90,Civil Procedure
LNIND_1953_CAL_186,Arbitration
LNIND_1980_CAL_68,Service Law
LNIND_1955_CAL_95,Civil Procedure
LNIND_1980_CAL_28,Income Tax
LNIND_1988_CAL_46,Property Laws
LNIND_1980_CAL_314,Arbitration
LNIND_1976_CAL_297,Intellectual Property Laws
LNIND_1957_CAL_130,Criminal Procedure
LNIND_1957_CAL_197,Criminal Procedure
LNIND_1993_DEL_166,Property Laws
LNIND_1954_CAL_63,Arbitration
LNIND_1976_CAL_23,Sales Tax And Vat
LNIND_1979_CAL_222,Company Law
LNIND_1952_CAL_160,Company Law
LNIND_1976_CAL_196,Income Tax
LNIND_1976_CAL_136,Alternative Dispute Resolution
LNIND_1957_CAL_153,Tenancy Laws
LNIND_1954_CAL_98,Property Laws
LNIND_1988_CAL_174,Civil Laws
LNIND_1952_CAL_91,Civil Procedure
LNIND_1980_CAL_24,Income Tax
LNIND_1980_CAL_322,Income Tax
LNIND_1957_CAL_1,Property Laws
LNIND_1988_CAL_240,Criminal Procedure
LNIND_1993_DEL_149,Civil Procedure
LNIND_1988_CAL_94,Criminal Procedure
LNIND_1957_CAL_25,Government Contracts
LNIND_1954_CAL_96,Civil Procedure
LNIND_1955_CAL_16,Sales Tax And Vat
LNIND_1980_CAL_268,Civil Procedure
LNIND_1980_CAL_247,Intellectual Property Laws
LNIND_1976_CAL_190,Tenancy Laws
LNIND_1976_CAL_132,Property Laws
LNIND_1980_CAL_187,Company Law
LNIND_1952_CAL_131,Limitation
LNIND_1957_CAL_181,Sales Tax And Vat
LNIND_1980_CAL_277,Income Tax
LNIND_1951_CAL_18,Income Tax
LNIND_1988_CAL_229,Income Tax
LNIND_1957_CAL_41,Limitation
LNIND_1980_CAL_193,Service Law
LNIND_1993_DEL_180,Property Laws
LNIND_1957_CAL_56,Local Government
LNIND_1980_CAL_130,Income Tax
LNIND_1980_CAL_140,Income Tax
LNIND_1955_CAL_64,Criminal Procedure
LNIND_1976_CAL_71,Cooperative Societies
LNIND_1980_CAL_286,Income Tax
LNIND_1980_CAL_2,Evidence
LNIND_1956_CAL_58,Civil Procedure
LNIND_1993_DEL_2,Company Law
LNIND_1976_CAL_194,Excise
LNIND_1954_CAL_182,Succession Laws
LNIND_1976_CAL_108,Income Tax
LNIND_1988_CAL_77,Service Law
LNIND_1988_CAL_74,Property Laws
LNIND_1976_CAL_200,Civil Procedure
LNIND_1988_CAL_34,Criminal Procedure
LNIND_1952_CAL_72,Civil Procedure
LNIND_1976_CAL_176,Local Government
LNIND_1976_CAL_271,Tenancy Laws
LNIND_1957_CAL_118,Evidence
LNIND_1976_CAL_62,Income Tax
LNIND_1951_CAL_193,Tenancy Laws
LNIND_1952_CAL_121,Tenancy Laws
LNIND_1952_CAL_55,Civil Procedure
LNIND_1953_CAL_51,Property Laws
LNIND_1976_CAL_9,Income Tax
LNIND_1954_CAL_75,Limitation
LNIND_1979_CAL_214,Company Law
LNIND_1953_CAL_174,Property Laws
LNIND_1988_CAL_126,Employment And Labour Law
LNIND_1988_CAL_257,Service Law
LNIND_1955_CAL_156,Customs
LNIND_1988_CAL_116,Property Laws
LNIND_1980_CAL_163,Property Laws
LNIND_1993_DEL_112,Criminal Laws
LNIND_1988_CAL_83,Service Law
LNIND_1993_DEL_16,Criminal Laws
LNIND_1957_CAL_46,Succession Laws
LNIND_1954_CAL_141,Government Contracts